Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM
brain_AXT1POST_210_6001850,0,0.8916059080327816,tensor(0.9840),tensor(0.5159),28.446269816485664
brain_AXT1POST_210_6001850,1,0.9073575492580112,tensor(0.9856),tensor(0.5262),28.155482789968328
brain_AXT1POST_210_6001850,2,0.8730064149193986,tensor(0.9805),tensor(0.4819),24.995414316942654
brain_AXT1POST_210_6001850,3,0.9365607609256212,tensor(0.9901),tensor(0.5825),26.11809761824688
brain_AXT1POST_210_6001850,4,0.9322920010963431,tensor(0.9895),tensor(0.5673),30.559650444227863
brain_AXT1POST_210_6001850,5,0.9400598584087232,tensor(0.9903),tensor(0.5688),32.66863481227469
brain_AXT1POST_210_6001850,6,0.9502109311246102,tensor(0.9924),tensor(0.5757),30.06730622909774
brain_AXT1POST_210_6001850,7,0.9450498360138865,tensor(0.9920),tensor(0.5865),22.179055909083992
brain_AXT1POST_210_6001850,8,0.9516542752510493,tensor(0.9932),tensor(0.6007),33.75408136936648
brain_AXT1POST_210_6001850,9,0.9483257068235652,tensor(0.9934),tensor(0.6044),33.465438366199
brain_AXT1POST_210_6001850,10,0.9641555731391784,tensor(0.9937),tensor(0.6208),31.077038117040075
brain_AXT1POST_210_6001850,11,0.9503610682545488,tensor(0.9931),tensor(0.6006),33.13311240783316
brain_AXT1POST_210_6001850,12,0.9557846093828917,tensor(0.9939),tensor(0.6101),27.871718442341013
brain_AXT1POST_210_6001850,13,0.9703146803644511,tensor(0.9938),tensor(0.5764),34.60066817475132
brain_AXT1POST_210_6001850,14,0.9779799388159435,tensor(0.9954),tensor(0.5660),33.464564949233775
brain_AXT1POST_210_6001850,15,0.9774879699678916,tensor(0.9950),tensor(0.5047),35.85136106765326
brain_AXT1POST_210_6001797,0,0.9241124638873905,tensor(0.9869),tensor(0.5613),30.441657029877746
brain_AXT1POST_210_6001797,1,0.9046388465222319,tensor(0.9851),tensor(0.5248),29.308882531051733
brain_AXT1POST_210_6001797,2,0.9084859885973686,tensor(0.9855),tensor(0.5538),32.25440372188879
brain_AXT1POST_210_6001797,3,0.9529347654350496,tensor(0.9938),tensor(0.6429),34.43973616025703
brain_AXT1POST_210_6001797,4,0.9113674328768673,tensor(0.9874),tensor(0.5549),33.2685011540684
brain_AXT1POST_210_6001797,5,0.949479933734418,tensor(0.9939),tensor(0.6981),38.891825998683075
brain_AXT1POST_210_6001797,6,0.9203249162223793,tensor(0.9905),tensor(0.5967),31.867022602960095
brain_AXT1POST_210_6001797,7,0.9661021405305621,tensor(0.9950),tensor(0.6681),36.089427239560024
brain_AXT1POST_210_6001797,8,0.9802571068221402,tensor(0.9962),tensor(0.6822),42.3345097100826
brain_AXT1POST_210_6001797,9,0.983735200223053,tensor(0.9968),tensor(0.7037),43.41011040482704
brain_AXT1POST_210_6001797,10,0.9743808855861034,tensor(0.9954),tensor(0.6401),41.27364582209427
brain_AXT1POST_210_6001797,11,0.9824453624624415,tensor(0.9970),tensor(0.7153),29.186262326908977
brain_AXT1POST_210_6001797,12,0.975713361830946,tensor(0.9958),tensor(0.6595),30.640601000400288
brain_AXT1POST_210_6001797,13,0.9606007339746397,tensor(0.9937),tensor(0.5951),29.043492734073183
brain_AXT1POST_210_6001797,14,0.9641519694616685,tensor(0.9951),tensor(0.6008),31.338523500908053
brain_AXT1POST_210_6001797,15,0.9824284313591664,tensor(0.9966),tensor(0.6169),31.35115968092021
brain_AXT1POST_210_6001790,0,0.9348386207531856,tensor(0.9889),tensor(0.5474),24.43960819927238
brain_AXT1POST_210_6001790,1,0.9175804001687959,tensor(0.9873),tensor(0.5334),29.577065170658177
brain_AXT1POST_210_6001790,2,0.9552174445125339,tensor(0.9933),tensor(0.6112),27.200370620496123
brain_AXT1POST_210_6001790,3,0.9481135414554476,tensor(0.9927),tensor(0.6243),27.53939803240007
brain_AXT1POST_210_6001790,4,0.9823930660637465,tensor(0.9964),tensor(0.6800),31.343878266199695
brain_AXT1POST_210_6001790,5,0.9336500698545526,tensor(0.9928),tensor(0.6019),30.942691477286267
brain_AXT1POST_210_6001790,6,0.9753230599187611,tensor(0.9961),tensor(0.6628),37.498592720157184
brain_AXT1POST_210_6001790,7,0.9533125791741969,tensor(0.9935),tensor(0.6110),32.74315852674805
brain_AXT1POST_210_6001790,8,0.97276598224654,tensor(0.9961),tensor(0.6666),36.455886621746316
brain_AXT1POST_210_6001790,9,0.9192676793932957,tensor(0.9909),tensor(0.5568),26.37118044374447
brain_AXT1POST_210_6001790,10,0.9601987180636359,tensor(0.9929),tensor(0.5905),29.319044642610802
brain_AXT1POST_210_6001790,11,0.9719006384746868,tensor(0.9951),tensor(0.6069),35.53859590345423
brain_AXT1POST_210_6001790,12,0.9441203216507535,tensor(0.9918),tensor(0.5516),36.2630558732164
brain_AXT1POST_210_6001790,13,0.9330568824686143,tensor(0.9887),tensor(0.4522),34.93882662020005
brain_AXT1POST_210_6001787,0,0.9578827554313671,tensor(0.9921),tensor(0.6099),35.991958570167434
